case_no,casetype,casesubtype,site_addr
CE1301-0353,TRASHRECYCLE BINS,CURB WRONG TIME,2006 WISTERIA ST
CE1301-0354,TRASHRECYCLE BINS,CURB WRONG TIME,2100 WISTERIA ST
CE1301-0355,TRASHRECYCLE BINS,CURB WRONG TIME,2201 HIGHLAND PARK
CE1301-0356,TRASHRECYCLE BINS,CURB WRONG TIME,2110 AZALEA ST
CE1301-0357,FENCES,RESIDENTIAL,2109 CAMELLIA ST
CE1301-0358,TRASHRECYCLE BINS,CURB WRONG TIME,2104 AZALEA ST
CE1301-0359,TRASHRECYCLE BINS,CURB WRONG TIME,2008 AZALEA ST
CE1301-0360,TRASHRECYCLE BINS,CURB WRONG TIME,2009 AZALEA ST
CE1301-0361,TRASHDEBRIS,RESIDENTIAL,1901 CAMELLIA ST
CE1301-0362,TRASHRECYCLE BINS,CURB WRONG TIME,3101 BENT CREEK DR
CE1301-0363,TRASHRECYCLE BINS,CURB WRONG TIME,1902 CAMELLIA ST
CE1301-0364,TRASHDEBRIS,RESIDENTIAL,2002 CAMELLIA ST
CE1301-0365,TRASHDEBRIS,RESIDENTIAL,2002 CAMELLIA ST
CE1301-0366,TRASHDEBRIS,RESIDENTIAL,2003 CAMELLIA ST
CE1301-0367,TRASHRECYCLE BINS,CURB WRONG TIME,2009 CAMELLIA ST
CE1301-0368,FENCES,RESIDENTIAL,2100 CAMELLIA ST
CE1301-0369,OUTSIDE STORAGE,RESIDENTIAL,2109 CAMELLIA ST
CE1301-0370,TRASHRECYCLE BINS,RESIDENTIAL,2109 CAMELLIA ST
CE1301-0371,TRASHRECYCLE BINS,CURB WRONG TIME,2108 CAMELLIA ST
CE1301-0372,INOPERABLE VEHICLE,MOTOR VEHICLE,3105 BENT CREEK DR
CE1301-0373,TRASHRECYCLE BINS,CURB WRONG TIME,2111 CAMELLIA ST
CE1301-0374,TRASHRECYCLE BINS,CURB WRONG TIME,2111 JASMINE ST
CE1301-0375,TRASHRECYCLE BINS,CURB WRONG TIME,3104 KAPPWOOD CT
CE1301-0376,TRASHRECYCLE BINS,LOCATION,2110 JASMINE ST
CE1301-0377,TRASHRECYCLE BINS,CURB WRONG TIME,2107 JASMINE ST
CE1301-0378,TRASHRECYCLE BINS,LOCATION,2008 JASMINE ST
CE1301-0379,TRASHDEBRIS,RESIDENTIAL,2006 JASMINE ST
CE1301-0380,TRASHRECYCLE BINS,LOCATION,2006 JASMINE ST
CE1301-0381,TRASHRECYCLE BINS,CURB WRONG TIME,3101 BRIARY TRACE CT
CE1301-0382,OUTSIDE STORAGE,RESIDENTIAL,2000 JASMINE ST
CE1301-0383,TRASHDEBRIS,RESIDENTIAL,2000 JASMINE ST
CE1301-0384,MINIMUM BUILDING STA,NO ADDRESS POSTED,2001 JASMINE ST
CE1301-0385,TRASHRECYCLE BINS,CURB WRONG TIME,2001 JASMINE ST
CE1301-0386,TRASHRECYCLE BINS,LOCATION,2304 LAUREL ST
CE1301-0387,TRASHRECYCLE BINS,CURB WRONG TIME,3225 BENT CREEK DR
CE1301-0388,TRASHRECYCLE BINS,CURB WRONG TIME,1901 JASMINE ST
CE1301-0389,PARKING,SINGLE FAMILY,1712 HIGHLAND PARK RD
CE1301-0390,TRASHDEBRIS,RESIDENTIAL,1205 KENDOLPH DR
CE1301-0391,TRASHRECYCLE BINS,CURB WRONG TIME,1205 KENDOLPH DR
CE1301-0392,PARKING,BLOCKING SIDEWALK,3249 BENT CREEK DR
CE1301-0393,TRASHRECYCLE BINS,CURB WRONG TIME,1211 KENDOLPH DR
CE1301-0394,TRASHRECYCLE BINS,CURB WRONG TIME,1312 KENDOLPH DR
CE1301-0395,TRASHRECYCLE BINS,CURB WRONG TIME,3312 TEASBEND CT
CE1301-0396,PARKING,SINGLE FAMILY,1509 KENDOLPH DR
CE1301-0397,PARKING,SINGLE FAMILY,1600 KENDOLPH DR
CE1301-0398,PARKING,SINGLE FAMILY,1600 KENDOLPH DR
CE1301-0399,TRASHRECYCLE BINS,CURB WRONG TIME,1606 KENDOLPH DR
CE1301-0400,TRASHRECYCLE BINS,LOCATION,1808 KENDOLPH DR
CE1301-0401,OUTSIDE STORAGE,RESIDENTIAL,1808 WILLOWWOOD ST
CE1301-0402,TRASHRECYCLE BINS,CURB WRONG TIME,3313 TEASBEND CT
CE1301-0403,MINIMUM BUILDING STA,NO ADDRESS POSTED,3313 TEASBEND CT
CE1301-0404,OUTSIDE STORAGE,RESIDENTIAL,1900 BERNARD ST
CE1301-0405,PARKING,BLOCKING SIDEWALK,3324 BENTGATE CT
CE1301-0406,TRASHRECYCLE BINS,CURB WRONG TIME,3324 BENTGATE CT
CE1301-0407,TRASHRECYCLE BINS,CURB WRONG TIME,3312 BENTGATE CT
CE1301-0408,OUTSIDE STORAGE,RESIDENTIAL,3300 BENTGATE CT
CE1301-0409,TRASHRECYCLE BINS,CURB WRONG TIME,3300 BENTGATE CT
CE1301-0410,TRASHRECYCLE BINS,CURB WRONG TIME,3300 BENT CREEK DR
CE1301-0411,ORDINANCE OTHER DEPT,RESIDENTIAL,3312 BENT CREEK DR
CE1301-0412,TRASHRECYCLE BINS,CURB WRONG TIME,3316 BENT CREEK DR
CE1301-0413,PARKING,BLOCKING SIDEWALK,913 GREENBEND DR
CE1301-0414,TRASHRECYCLE BINS,CURB WRONG TIME,913 GREENBEND DR
CE1301-0415,INOPERABLE VEHICLE,MOTOR VEHICLE,1128 WINTERCREEK DR
CE1301-0416,PARKING,BLOCKING SIDEWALK,1304 SPRINGCREEK DR
CE1301-0417,ORDINANCE OTHER DEPT,RESIDENTIAL,1225 SPRINGCREEK DR
CE1301-0418,OUTSIDE STORAGE,RESIDENTIAL,1213 SPRINGCREEK DR
CE1301-0419,TRASHRECYCLE BINS,CURB WRONG TIME,1213 SPRINGCREEK DR
CE1301-0420,TRASHRECYCLE BINS,CURB WRONG TIME,1120 SPRINGCREEK DR
CE1301-0421,TRASHRECYCLE BINS,CURB WRONG TIME,1112 SPRINGCREEK DR
CE1301-0422,TRASHDEBRIS,RESIDENTIAL,1105 CENTRAL VILLAGE DR
CE1301-0423,TRASHRECYCLE BINS,CURB WRONG TIME,1105 CENTRAL VILLAGE DR
CE1301-0424,ZONING,SIGNAGE,2215-2219 S LOOP 288
CE1301-0425,ILLEGAL DUMPING,CITY PROPERTY,LILLIAN MILLER/SHOP CTR INTER
CE1301-0426,ZONING,SIGNAGE,1811 SHADY OAKS DR
CE1301-0427,ZONING,SIGNAGE,101 N LOOP 288
CE1301-0428,ZONING,SIGNAGE,101 N LOOP 288
CE1301-0429,OUTSIDE STORAGE,RESIDENTIAL,1402 SOMBRA VISTA DR
CE1301-0430,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2119 SADAU CT
CE1301-0431,GRASSWEEDS,TREE LIMBS,ROBINSON RD
CE1301-0432,GRASSWEEDS,TREE LIMBS,ROBINSON RD
CE1301-0433,GRASSWEEDS,TREE LIMBS,6001 ENGLISH MANOR RD
CE1301-0434,GRASSWEEDS,TREE LIMBS,6009 ENGLISH SADDLE LN
CE1301-0435,GRASSWEEDS,TREE LIMBS,6009 ENGLISH SADDLE LN
CE1301-0436,GRASSWEEDS,TREE LIMBS,6113 ENGLISH SADDLE LN
CE1301-0437,GRASSWEEDS,TREE LIMBS,2813 DESERT DR
CE1301-0438,GRASSWEEDS,TREE LIMBS,2805 DESERT DR
CE1301-0439,GRASSWEEDS,TREE LIMBS,2805 DESERT DR
CE1301-0440,GRASSWEEDS,TREE LIMBS,2920 PADDOCK WAY
CE1301-0441,GRASSWEEDS,TREE LIMBS,2920 PADDOCK WAY
CE1301-0442,GRASSWEEDS,TREE LIMBS,2916 PADDOCK WAY
CE1301-0443,GRASSWEEDS,TREE LIMBS,2916 PADDOCK WAY
CE1301-0444,GRASSWEEDS,TREE LIMBS,2921 LIPIZZAN DR
CE1301-0445,GRASSWEEDS,TREE LIMBS,2921 LIPIZZAN DR
CE1301-0446,GRASSWEEDS,TREE LIMBS,3121 LIPIZZAN DR
CE1301-0447,GRASSWEEDS,TREE LIMBS,3117 LIPIZZAN DR
CE1301-0448,GRASSWEEDS,TREE LIMBS,3117 LIPIZZAN DR
CE1301-0449,GRASSWEEDS,TREE LIMBS,3113 LIPIZZAN DR
CE1301-0450,GRASSWEEDS,TREE LIMBS,3113 LIPIZZAN DR
CE1301-0451,GRASSWEEDS,TREE LIMBS,3109 LIPIZZAN DR
CE1301-0452,GRASSWEEDS,TREE LIMBS,2905 LIPIZZAN DR
CE1301-0453,GRASSWEEDS,TREE LIMBS,6609 WELLSTON LN
CE1301-0454,GRASSWEEDS,TREE LIMBS,6616 WELLSTON LN
CE1301-0455,GRASSWEEDS,TREE LIMBS,3200 GROVELAND TER
CE1301-0456,GRAFFITI,CITY PROPERTY,613 BERNARD ST
CE1301-0457,GRASSWEEDS,TREE LIMBS,3204 GROVELAND TER
CE1301-0458,GRASSWEEDS,TREE LIMBS,3208 GROVELAND TER
CE1301-0459,GRASSWEEDS,TREE LIMBS,3320 GROVELAND TER
CE1301-0460,GRASSWEEDS,TREE LIMBS,6613 SADDLEBACK DR
CE1301-0461,GRASSWEEDS,TREE LIMBS,3301 HIGHPOINT DR
CE1301-0462,GRASSWEEDS,TREE LIMBS,6101 SADDLEBACK DR
CE1301-0463,GRASSWEEDS,TREE LIMBS,6300 ST JAMES PL
CE1301-0464,GRASSWEEDS,TREE LIMBS,6104 HIGHFIELD PARK
CE1301-0465,GRASSWEEDS,TREE LIMBS,6104 HIGHFIELD PARK
CE1301-0466,GRASSWEEDS,TREE LIMBS,6108 HIGHFIELD PARK
CE1301-0467,GRASSWEEDS,TREE LIMBS,6112 HIGHFIELD PARK
CE1301-0468,GRASSWEEDS,TREE LIMBS,6116 HIGHFIELD PARK
CE1301-0469,GRASSWEEDS,TREE LIMBS,6221 THOROUGHBRED TRL
CE1301-0470,GRASSWEEDS,TREE LIMBS,6205 THOROUGHBRED TRL
CE1301-0471,GRASSWEEDS,TREE LIMBS,6204 THOROUGHBRED TRL
CE1301-0472,GRASSWEEDS,TREE LIMBS,6125 COUNTESS LN
CE1301-0473,GRASSWEEDS,TREE LIMBS,6021 THOROUGHBRED TRL
CE1301-0474,GRASSWEEDS,TREE LIMBS,6021 THOROUGHBRED TRL
CE1301-0475,GRASSWEEDS,TREE LIMBS,6124 COUNTESS LN
CE1301-0476,GRASSWEEDS,TREE LIMBS,6012 THOROUGHBRED TRL
CE1301-0477,GRASSWEEDS,TREE LIMBS,3612 SALON CT
CE1301-0478,GRASSWEEDS,TREE LIMBS,3617 SALON CT
CE1301-0479,GRASSWEEDS,TREE LIMBS,3608 SALON CT
CE1301-0480,GRASSWEEDS,TREE LIMBS,3608 SALON CT
CE1301-0481,GRASSWEEDS,TREE LIMBS,5933 THOROUGHBRED TRL
CE1301-0482,INOPERABLE VEHICLE,MOTOR VEHICLE,1408 SOMBRA VISTA DR
CE1301-0483,GRASSWEEDS,TREE LIMBS,5909 THOROUGHBRED TRL
CE1301-0484,GRASSWEEDS,TREE LIMBS,3501 BUTLER DR
CE1301-0485,GRASSWEEDS,TREE LIMBS,3616 BUTLER DR
CE1301-0486,GRASSWEEDS,TREE LIMBS,3616 BUTLER DR
CE1301-0487,GRASSWEEDS,TREE LIMBS,3601 ANDALUSIAN DR
CE1301-0488,GRASSWEEDS,TREE LIMBS,3601 ANDALUSIAN DR
CE1301-0489,GRASSWEEDS,TREE LIMBS,3505 ANDALUSIAN DR
CE1301-0490,GRASSWEEDS,TREE LIMBS,3509 ANDALUSIAN DR
CE1301-0491,GRASSWEEDS,TREE LIMBS,3517 ANDALUSIAN DR
CE1301-0492,GRASSWEEDS,TREE LIMBS,3521 ANDALUSIAN DR
CE1301-0493,GRASSWEEDS,TREE LIMBS,5800 THOROUGHBRED TRL
CE1301-0494,GRASSWEEDS,TREE LIMBS,5800 THOROUGHBRED TRL
CE1301-0495,GRASSWEEDS,TREE LIMBS,5709 THOROUGHBRED TRL
CE1301-0496,GRASSWEEDS,TREE LIMBS,5701 THOROUGHBRED TRL
CE1301-0497,GRASSWEEDS,TREE LIMBS,3620 LIPIZZAN DR
CE1301-0498,GRASSWEEDS,TREE LIMBS,3501 LIPIZZAN DR
CE1301-0499,GRASSWEEDS,TREE LIMBS,3528 LIPIZZAN DR
CE1301-0500,GRASSWEEDS,TREE LIMBS,3621 LIPIZZAN DR
CE1301-0501,GRASSWEEDS,TREE LIMBS,3605 CLYDESDALE DR
CE1301-0502,GRASSWEEDS,TREE LIMBS,3517 CLYDESDALE DR
CE1301-0503,GRASSWEEDS,TREE LIMBS,3500 CLYDESDALE DR
CE1301-0504,GRASSWEEDS,TREE LIMBS,3237 CLYDESDALE DR
CE1301-0505,GRASSWEEDS,TREE LIMBS,3427 LIPIZZAN DR
CE1301-0506,GRASSWEEDS,TREE LIMBS,3318 ANDALUSIAN DR
CE1301-0507,GRASSWEEDS,TREE LIMBS,3415 FRIESIAN CT
CE1301-0508,GRASSWEEDS,TREE LIMBS,6110 MORGAN DR
CE1301-0509,GRASSWEEDS,TREE LIMBS,6110 MORGAN DR
CE1301-0510,GRASSWEEDS,TREE LIMBS,3214 FRIESIAN CT
CE1301-0511,GRASSWEEDS,TREE LIMBS,3214 FRIESIAN CT
CE1301-0512,GRASSWEEDS,TREE LIMBS,3218 ANDALUSIAN DR
CE1301-0513,GRASSWEEDS,TREE LIMBS,3222 ANDALUSIAN DR
CE1301-0514,GRASSWEEDS,TREE LIMBS,3115 BRETON DR
CE1301-0515,GRASSWEEDS,TREE LIMBS,5414 GREEN IVY RD
CE1301-0516,GRASSWEEDS,TREE LIMBS,5414 GREEN IVY RD
CE1301-0517,GRASSWEEDS,TREE LIMBS,5419 GREEN IVY RD
CE1301-0518,GRASSWEEDS,TREE LIMBS,5419 GREEN IVY RD
CE1301-0519,GRASSWEEDS,TREE LIMBS,5418 GREEN IVY RD
CE1301-0520,GRASSWEEDS,TREE LIMBS,5418 GREEN IVY RD
CE1301-0521,GRASSWEEDS,TREE LIMBS,5510 GREEN IVY RD
CE1301-0522,GRASSWEEDS,TREE LIMBS,5514 GREEN IVY RD
CE1301-0523,GRASSWEEDS,TREE LIMBS,5921 LOST PONY DR
CE1301-0524,GRASSWEEDS,TREE LIMBS,5909 LOST PONY DR
CE1301-0525,GRASSWEEDS,TREE LIMBS,5901 LOST PONY DR
CE1301-0526,GRASSWEEDS,TREE LIMBS,5901 LOST PONY DR
CE1301-0527,GRASSWEEDS,TREE LIMBS,5900 ENGLISH MANOR RD
CE1301-0528,GRASSWEEDS,TREE LIMBS,5904 ENGLISH MANOR RD
CE1301-0529,GRASSWEEDS,TREE LIMBS,5904 ENGLISH MANOR RD
CE1301-0530,GRASSWEEDS,TREE LIMBS,5905 ENGLISH MANOR RD
CE1301-0531,GRASSWEEDS,TREE LIMBS,5920 ENGLISH MANOR RD
CE1301-0532,TRASHDEBRIS,RESIDENTIAL,3840 KIRBY DR
CE1301-0533,CERTIFICATE OF OCCUP,NEW BUSINESS,401-415 W UNIVERSITY DR
CE1301-0534,CERTIFICATE OF OCCUP,CHANGE OF OWNER,621 BERNARD ST BLDG 1
CE1301-0535,CERTIFICATE OF OCCUP,CHANGE OF OWNER,621 BERNARD ST BLDG 2
CE1301-0536,CERTIFICATE OF OCCUP,CHANGE OF OWNER,621 BERNARD ST BLDG 3
CE1301-0537,CERTIFICATE OF OCCUP,CHANGE OF OWNER,1100 OAKWOOD DR
CE1301-0538,CERTIFICATE OF OCCUP,CHANGE OF OWNER,1100 OAKWOOD DR
CE1301-0539,CERTIFICATE OF OCCUP,CHANGE OF OWNER,1100 OAKWOOD DR
CE1301-0540,CERTIFICATE OF OCCUP,CHANGE OF OWNER,1100 OAKWOOD DR
CE1301-0541,CERTIFICATE OF OCCUP,CHANGE OF OWNER,1100 OAKWOOD DR
CE1301-0542,CERTIFICATE OF OCCUP,CHANGE OF OWNER,1100 OAKWOOD DR
CE1301-0543,TRASHDEBRIS,RESIDENTIAL,706 CORDELL ST
CE1301-0544,TRASHRECYCLE BINS,CURB WRONG TIME,706 CORDELL ST
CE1301-0545,TRASHRECYCLE BINS,CURB WRONG TIME,710 CORDELL ST
CE1301-0546,CERTIFICATE OF OCCUP,NEW BUSINESS,207 N ELM ST
CE1301-0547,TRASHDEBRIS,RESIDENTIAL,4408 ALSACE DR
CE1301-0548,TRASHRECYCLE BINS,LOCATION,4408 ALSACE DR
CE1301-0549,DANGEROUS BUILDINGS,RESIDENTIAL,1011 E OAK
CE1301-0550,TRASHDEBRIS,COMMERCIAL,900 FANNIN ST
CE1301-0551,MINIMUM BUILDING STA,ROOFS AND DRAINAGE,1011 E OAK
CE1301-0552,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,1011 E OAK
CE1301-0553,INOPERABLE VEHICLE,MOTOR VEHICLE,1100 BLK LINCOLN  (across 1109
CE1301-0554,TRASHDEBRIS,RESIDENTIAL,909 MANHATTAN DR
CE1301-0555,OUTSIDE STORAGE,RESIDENTIAL,616 JUNO LN
CE1301-0556,TRASHDEBRIS,RESIDENTIAL,616 JUNO LN
CE1301-0557,TRASHDEBRIS,RESIDENTIAL,605 GARDENVIEW CIR
CE1301-0558,TRASHDEBRIS,RESIDENTIAL,2319 BERNARD ST
CE1301-0559,TRASHRECYCLE BINS,CURB WRONG TIME,2410-12 BERNARD ST
CE1301-0560,TRASHRECYCLE BINS,CURB WRONG TIME,2410-12 BERNARD ST
CE1301-0561,TRASHDEBRIS,RESIDENTIAL,2315 BERNARD ST
CE1301-0562,TRASHRECYCLE BINS,CURB WRONG TIME,2116 BERNARD ST
CE1301-0563,TRASHRECYCLE BINS,CURB WRONG TIME,2112 BERNARD ST
CE1301-0564,TRASHDEBRIS,RESIDENTIAL,1920 BERNARD ST
CE1301-0565,DANGEROUS BUILDINGS,RESIDENTIAL,212 DANIEL ST
CE1301-0566,TRASHDEBRIS,RESIDENTIAL,212 DANIEL ST
CE1301-0567,FENCES,RESIDENTIAL,212 DANIEL ST
CE1301-0568,ZONING,SIGNAGE,101 N LOOP 288
CE1301-0569,ZONING,SIGNAGE,101 N LOOP 288
CE1301-0570,ZONING,SIGNAGE,101 N LOOP 288
CE1301-0571,ZONING,SIGNAGE,1501 S LOOP 288 #101
CE1301-0572,MINIMUM BUILDING STA,NO ADDRESS POSTED,828 E MCKINNEY ST
CE1301-0573,ZONING,SIGNAGE,1602 E MCKINNEY ST
CE1301-0574,MINIMUM BUILDING STA,NO ADDRESS POSTED,1602 E MCKINNEY ST
CE1301-0575,ZONING,SIGNAGE,LOOP 288/MCKINNEY INTERSECTIO
CE1301-0576,ZONING,SIGNAGE,LOOP 288/MCKINNEY INTERSECTIO
CE1301-0577,ZONING,SIGNAGE,LOOP 288/MCKINNEY INTERSECTIO
CE1301-0578,ZONING,SIGNAGE,803 E MCKINNEY ST
CE1301-0579,ILLEGAL DUMPING,CITY PROPERTY,Sunray and Lakeview
CE1301-0580,ORDINANCE OTHER DEPT,CITY PROPERTY,1100 blk Hickory
CE1301-0581,PARKING,BLOCKING SIDEWALK,316 TRIPP TRL
CE1301-0582,ORDINANCE OTHER DEPT,RESIDENTIAL,2728 MISTYWOOD LN
CE1301-0583,OUTSIDE STORAGE,RESIDENTIAL,2908 MISTYWOOD LN
CE1301-0584,TRASHDEBRIS,RESIDENTIAL,2908 MISTYWOOD LN
CE1301-0585,TRASHRECYCLE BINS,CURB WRONG TIME,2908 MISTYWOOD LN
CE1301-0586,OUTSIDE STORAGE,RESIDENTIAL,815 E WINDSOR DR
CE1301-0587,FENCES,RESIDENTIAL,3101 CARMEL ST
CE1301-0588,NO ORDINANCE,RESIDENTIAL,3101 CARMEL ST
CE1301-0589,TRASHDEBRIS,RESIDENTIAL,3101 CARMEL ST
CE1301-0590,FENCES,RESIDENTIAL,2500 LIBERTY LN
CE1301-0591,OUTSIDE STORAGE,RESIDENTIAL,425 CASIE CT
CE1301-0592,TRASHDEBRIS,RESIDENTIAL,425 CASIE CT
CE1301-0593,ORDINANCE OTHER DEPT,RESIDENTIAL,2525 LIBERTY LN
CE1301-0594,OUTSIDE STORAGE,RESIDENTIAL,2724 FOXCROFT CIR
CE1301-0595,TRASHDEBRIS,RESIDENTIAL,2724 FOXCROFT CIR
CE1301-0596,TRASHRECYCLE BINS,LOCATION,2724 FOXCROFT CIR
CE1301-0597,OUTSIDE STORAGE,RESIDENTIAL,2720 FOXCROFT CIR
CE1301-0598,TRASHDEBRIS,RESIDENTIAL,2720 FOXCROFT CIR
CE1301-0599,TRASHDEBRIS,RESIDENTIAL,2516 FOXCROFT CIR
CE1301-0600,OUTSIDE STORAGE,RESIDENTIAL,2425 FOXCROFT CIR
CE1301-0601,TRASHDEBRIS,RESIDENTIAL,2425 FOXCROFT CIR
CE1301-0602,TRASHDEBRIS,RESIDENTIAL,408 GABE CT
CE1301-0603,PARKING,SINGLE FAMILY,500 FRAME ST
CE1301-0604,TRASHDEBRIS,RESIDENTIAL,3011 CARMEL ST
CE1301-0605,OUTSIDE STORAGE,RESIDENTIAL,2427 FOXCROFT CIR
CE1301-0606,TRASHDEBRIS,RESIDENTIAL,2427 FOXCROFT CIR
CE1301-0607,TRASHDEBRIS,RESIDENTIAL,1305 BRYN MAWR PL
CE1301-0608,TRASHDEBRIS,RESIDENTIAL,2502 FOXCROFT CIR
CE1301-0609,INOPERABLE VEHICLE,MOTOR VEHICLE,Highpointe and Longleaf
CE1301-0610,VIEW OBSTRUCTION,,Highpointe and Longleaf
CE1301-0611,OUTSIDE STORAGE,RESIDENTIAL,3319 GARDENVIEW CIR
CE1301-0612,TRASHDEBRIS,RESIDENTIAL,3319 GARDENVIEW CIR
CE1301-0613,TRASHDEBRIS,RESIDENTIAL,2723 NORTHCREST RD
CE1301-0614,TRASHDEBRIS,RESIDENTIAL,3211 FALLMEADOW ST
CE1301-0615,TRASHDEBRIS,RESIDENTIAL,516 NEPTUNE DR
CE1301-0616,OUTSIDE STORAGE,RESIDENTIAL,604 PERSHING DR
CE1301-0617,OUTSIDE STORAGE,RESIDENTIAL,803 TEXAS ST
CE1301-0618,TRASHDEBRIS,RESIDENTIAL,803 TEXAS ST
CE1301-0619,TRASHRECYCLE BINS,LOCATION,604 PERSHING DR
CE1301-0620,TRASHDEBRIS,RESIDENTIAL,821 VINE ST
CE1301-0621,TRASHRECYCLE BINS,LOCATION,626 TEXAS ST
CE1301-0622,TRASHDEBRIS,RESIDENTIAL,620 JUNO LN
CE1301-0623,PARKING,SINGLE FAMILY,906 BELL AVE
CE1301-0624,PARKING,SINGLE FAMILY,722 SCHMITZ AVE
CE1301-0625,PARKING,SINGLE FAMILY,609 JUNO LN
CE1301-0626,OUTSIDE STORAGE,RESIDENTIAL,706 SCHMITZ AVE
CE1301-0627,TRASHRECYCLE BINS,LOCATION,702 SCHMITZ AVE
CE1301-0628,TRASHRECYCLE BINS,LOCATION,625 SCHMITZ AVE
CE1301-0629,OUTSIDE STORAGE,RESIDENTIAL,3808 ATLAS DR
CE1301-0630,PARKING,SINGLE FAMILY,613 E COLLEGE ST
CE1301-0631,OUTSIDE STORAGE,RESIDENTIAL,3925 ATLAS DR
CE1301-0632,TRASHDEBRIS,RESIDENTIAL,621 GROVE ST
CE1301-0633,PARKING,SINGLE FAMILY,1600 N RUDDELL ST
CE1301-0634,PARKING,SINGLE FAMILY,3408 SUNNYDALE LN
CE1301-0635,TRASHRECYCLE BINS,LOCATION,1702 N RUDDELL ST
CE1301-0636,OUTSIDE STORAGE,RESIDENTIAL,1805 SHAWNEE ST
CE1301-0637,TRASHDEBRIS,RESIDENTIAL,3508 SAGEBRUSH DR
CE1301-0638,FENCES,RESIDENTIAL,1721 SHAWNEE ST
CE1301-0639,OUTSIDE STORAGE,RESIDENTIAL,1717 SHAWNEE ST
CE1301-0640,TRASHDEBRIS,RESIDENTIAL,3401 HUISACHE ST
CE1301-0641,GRASSWEEDS,TREE LIMBS,119 OWENS LN
CE1301-0642,GRAFFITI,RESIDENTIAL,Pockrus page
CE1301-0643,GRASSWEEDS,CITY PROPERTY,SAN LUCAS LN
CE1301-0644,TRASHDEBRIS,RESIDENTIAL,1109 KERLEY ST
CE1301-0645,TRASHRECYCLE BINS,LOCATION,320 GABE CT
CE1301-0646,TRASHRECYCLE BINS,LOCATION,815 E WINDSOR DR
CE1301-0647,TRASHRECYCLE BINS,LOCATION,409 GABE CT
CE1301-0648,TRASHDEBRIS,RESIDENTIAL,505 DRIFTWOOD TRL
CE1301-0649,TRASHDEBRIS,RESIDENTIAL,3821 KIRBY DR
CE1301-0650,GRASSWEEDS,TREE LIMBS,2322 N LOCUST ST
CE1301-0651,OUTSIDE STORAGE,RESIDENTIAL,520 CHISHOLM TRAIL
CE1301-0652,TRASHDEBRIS,RESIDENTIAL,520 CHISHOLM TRAIL
CE1301-0653,FENCES,RESIDENTIAL,3901 KIRBY DR
CE1301-0654,FENCES,RESIDENTIAL,3841 CHIMNEY ROCK DR
CE1301-0655,TRASHDEBRIS,VACANT LOT,PAIGE RD
CE1301-0656,TRASHDEBRIS,RESIDENTIAL,921 STUART RD
CE1301-0657,TRASHDEBRIS,RESIDENTIAL,3717 KIRBY DR
CE1301-0658,INOPERABLE VEHICLE,MOTOR VEHICLE,2701 HILCROFT AVE
CE1301-0659,TRASHDEBRIS,RESIDENTIAL,716 CHISHOLM TRL
CE1301-0660,FENCES,RESIDENTIAL,3608 BIG HORN TRL
CE1301-0661,FENCES,RESIDENTIAL,3604 BIG HORN TRL
CE1301-0662,INOPERABLE VEHICLE,MOTOR VEHICLE,200 JOSHUA ST
CE1301-0663,FENCES,RESIDENTIAL,2705 ARABIAN AVE
CE1301-0664,PARKING,BLOCKING SIDEWALK,3121 SARANAC CIR
CE1301-0665,GRASSWEEDS,BLOCKING SIDEWALK,2200 GREAT BEAR LN
CE1301-0666,PARKING,BLOCKING SIDEWALK,3109 SARANAC CIR
CE1301-0667,TRASHDEBRIS,RESIDENTIAL,3813 CAMELOT ST
CE1301-0668,INOPERABLE VEHICLE,MOTOR VEHICLE,1007 MACK PL
CE1301-0669,TRASHDEBRIS,RESIDENTIAL,3900 STUART RD
CE1301-0670,TRASHRECYCLE BINS,RESIDENTIAL,3900 STUART RD
CE1301-0671,OUTSIDE STORAGE,RESIDENTIAL,1824 WESTCHESTER ST
CE1301-0672,TRASHDEBRIS,RESIDENTIAL,1824 WESTCHESTER ST
CE1301-0673,PARKING,BLOCKING SIDEWALK,2501 CHAMPLAIN LN
CE1301-0674,PARKING,SINGLE FAMILY,1112 AVE A
CE1301-0675,PARKING,SINGLE FAMILY,1110 AVE A
CE1301-0676,TRASHDEBRIS,RESIDENTIAL,1216/1220 AVE A ST
CE1301-0677,TRASHDEBRIS,RESIDENTIAL,1203 AVE A
CE1301-0678,TRASHDEBRIS,VACANT LOT,1016 AVE A
CE1301-0679,INOPERABLE VEHICLE,MOTOR VEHICLE,3913 WINSTON DR
CE1301-0680,MINIMUM BUILDING STA,ROOFS AND DRAINAGE,1024 GREENLEE ST
CE1301-0681,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,1024 GREENLEE ST
CE1301-0682,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,1024 GREENLEE ST
CE1301-0683,MINIMUM BUILDING STA,EXT WALLS SURFACES,1024 GREENLEE ST
CE1301-0684,MINIMUM BUILDING STA,ROOFS AND DRAINAGE,1024 GREENLEE ST
CE1301-0685,PARKING,SINGLE FAMILY,3000 Block Breton
CE1301-0686,PARKING,SINGLE FAMILY,1302 CENTRAL AVE
CE1301-0687,TRASHDEBRIS,RESIDENTIAL,1104 NEFF ST
CE1301-0688,TRASHDEBRIS,RESIDENTIAL,1103 NEFF ST
